"Story","Title","Result","Date","Stability","Duration (s)"
"Weather test","Test search by coordinates body","SUCCESS","2019-02-11T00:16:42.876Z[Europe/London]","0.0","21.28"
"Weather test","Test search by city name","SUCCESS","2019-02-11T00:17:04.204Z[Europe/London]","0.0","10.17"
"Weather test","Test search by city name with no key","SUCCESS","2019-02-11T00:17:14.402Z[Europe/London]","0.0","10.17"
"Weather test","Test search by zip code country body","SUCCESS","2019-02-11T00:17:24.606Z[Europe/London]","0.0","10.28"
"Weather test","Test search by city id body","SUCCESS","2019-02-11T00:17:34.902Z[Europe/London]","0.0","10.32"
"Weather test","Test search by city name body","SUCCESS","2019-02-11T00:17:45.234Z[Europe/London]","0.0","10.24"
"Weather test","Test search by zip code body","SUCCESS","2019-02-11T00:17:55.493Z[Europe/London]","0.0","10.26"
